CustomerID,Country,InvoiceDate,TotalRevenue,Day,Month,Year,,,,,,,,
12931,United Kingdom,31/08/2011,-7460.95,31,8,2011,,,,,,,,
16029,United Kingdom,05/03/2011,-6930,5,3,2011,,,,,,,,
17448,United Kingdom,18/07/2011,-4287.63,18,7,2011,,,,,,,,
16029,United Kingdom,10/11/2011,-4006.08,10,11,2011,,,,,,,,
17450,United Kingdom,21/09/2011,-3825.36,21,9,2011,,,,,,,,
12454,Spain,17/10/2011,-3528.34,17,10,2011,,,,,,,,
14156,EIRE,25/02/2011,-2548.8,25,2,2011,,,,,,,,
12748,United Kingdom,15/09/2011,-1770.04,15,9,2011,,,,,,,,
15482,United Kingdom,11/04/2011,-1652.8,11,4,2011,,,,,,,,
17949,United Kingdom,22/08/2011,-1642.5,22,8,2011,,,,,,,,
15369,United Kingdom,18/07/2011,-1592.49,18,7,2011,,,,,,,,
12755,Japan,04/04/2011,-1591.2,4,4,2011,,,,,,,,
12607,USA,10/12/2011,-1579.51,10,12,2011,,,,,,,,
13680,United Kingdom,01/07/2011,-1520.11,1,7,2011,,,,,,,,
15749,United Kingdom,18/04/2011,-1462.5,18,4,2011,,,,,,,,
15769,United Kingdom,22/09/2011,-1326,22,9,2011,,,,,,,,
16013,United Kingdom,17/12/2010,-1275,17,12,2010,,,,,,,,
14146,United Kingdom,28/01/2011,-1241.43,28,1,2011,,,,,,,,
14213,United Kingdom,12/03/2010,-1192.2,12,3,2010,,,,,,,,
16013,United Kingdom,15/06/2011,-1155,15,6,2011,,,,,,,,
16839,United Kingdom,10/06/2011,-1145.83,10,6,2011,,,,,,,,
17450,United Kingdom,29/09/2011,-1140.78,29,9,2011,,,,,,,,
17450,United Kingdom,02/11/2011,-1132.08,2,11,2011,,,,,,,,
12503,Spain,01/06/2011,-1126,1,6,2011,,,,,,,,
17603,United Kingdom,18/07/2011,-1000.37,18,7,2011,,,,,,,,
16013,United Kingdom,20/07/2011,-990,20,7,2011,,,,,,,,
15365,United Kingdom,10/06/2011,-983.87,10,6,2011,,,,,,,,
13235,United Kingdom,05/12/2011,-929.9,5,12,2011,,,,,,,,
15502,United Kingdom,11/07/2011,-913.08,11,7,2011,,,,,,,,
12748,United Kingdom,28/10/2011,-907,28,10,2011,,,,,,,,
15823,United Kingdom,01/06/2011,-855.76,1,6,2011,,,,,,,,
16938,United Kingdom,13/06/2011,-823.5,13,6,2011,,,,,,,,
14557,United Kingdom,10/06/2011,-788.38,10,6,2011,,,,,,,,
14911,EIRE,20/12/2010,-760.31,20,12,2010,,,,,,,,
16801,United Kingdom,31/03/2011,-751.9,31,3,2011,,,,,,,,
17809,United Kingdom,18/07/2011,-717.23,18,7,2011,,,,,,,,
16900,United Kingdom,10/10/2011,-682.05,10,10,2011,,,,,,,,
14298,United Kingdom,12/06/2011,-664.86,12,6,2011,,,,,,,,
12901,United Kingdom,23/06/2011,-641.8,23,6,2011,,,,,,,,
13154,United Kingdom,18/07/2011,-611.86,18,7,2011,,,,,,,,
15299,United Kingdom,06/09/2011,-600,6,9,2011,,,,,,,,
14145,United Kingdom,29/07/2011,-594,29,7,2011,,,,,,,,
16546,United Kingdom,12/02/2010,-583.68,12,2,2010,,,,,,,,
16716,United Kingdom,02/10/2011,-581.4,2,10,2011,,,,,,,,
16684,United Kingdom,20/06/2011,-580.8,20,6,2011,,,,,,,,
17368,United Kingdom,25/01/2011,-563.15,25,1,2011,,,,,,,,
17867,United Kingdom,23/09/2011,-561.6,23,9,2011,,,,,,,,
17603,United Kingdom,17/03/2011,-555.9,17,3,2011,,,,,,,,
13564,United Kingdom,18/07/2011,-550.64,18,7,2011,,,,,,,,
17450,United Kingdom,21/06/2011,-545.58,21,6,2011,,,,,,,,
16717,United Kingdom,18/07/2011,-530.47,18,7,2011,,,,,,,,
14426,United Kingdom,14/07/2011,-500.74,14,7,2011,,,,,,,,
15681,United Kingdom,21/11/2011,-479.8,21,11,2011,,,,,,,,
15606,United Kingdom,10/06/2011,-477.72,10,6,2011,,,,,,,,
12748,United Kingdom,16/11/2011,-468.53,16,11,2011,,,,,,,,
13791,United Kingdom,27/10/2011,-468.32,27,10,2011,,,,,,,,
14646,Netherlands,31/08/2011,-465.6,31,8,2011,,,,,,,,
17949,United Kingdom,24/10/2011,-464.9,24,10,2011,,,,,,,,
16525,United Kingdom,08/03/2011,-452.42,8,3,2011,,,,,,,,
15802,United Kingdom,20/07/2011,-451.42,20,7,2011,,,,,,,,
17389,United Kingdom,01/04/2011,-442.5,1,4,2011,,,,,,,,
12967,United Kingdom,12/06/2011,-436.2,12,6,2011,,,,,,,,
17107,United Kingdom,11/07/2011,-435,11,7,2011,,,,,,,,
14911,EIRE,14/08/2011,-434.51,14,8,2011,,,,,,,,
13984,United Kingdom,07/07/2011,-432.48,7,7,2011,,,,,,,,
12415,Australia,28/04/2011,-425,28,4,2011,,,,,,,,
15197,United Kingdom,01/12/2011,-419.4,1,12,2011,,,,,,,,
16163,United Kingdom,28/04/2011,-415,28,4,2011,,,,,,,,
14688,United Kingdom,09/12/2011,-394.85,9,12,2011,,,,,,,,
15622,United Kingdom,12/06/2011,-381.95,12,6,2011,,,,,,,,
13225,United Kingdom,31/03/2011,-380.8,31,3,2011,,,,,,,,
17731,United Kingdom,26/06/2011,-361.91,26,6,2011,,,,,,,,
16923,United Kingdom,27/01/2011,-350.5,27,1,2011,,,,,,,,
14299,United Kingdom,01/11/2011,-347.5,1,11,2011,,,,,,,,
17728,United Kingdom,16/09/2011,-345.03,16,9,2011,,,,,,,,
13217,United Kingdom,08/09/2011,-344.94,8,9,2011,,,,,,,,
16019,United Kingdom,12/08/2011,-336,12,8,2011,,,,,,,,
14113,United Kingdom,02/01/2011,-331.5,2,1,2011,,,,,,,,
13012,United Kingdom,13/06/2011,-330.12,13,6,2011,,,,,,,,
17706,United Kingdom,24/08/2011,-310.33,24,8,2011,,,,,,,,
17567,United Kingdom,21/09/2011,-309.02,21,9,2011,,,,,,,,
13762,United Kingdom,19/05/2011,-306.72,19,5,2011,,,,,,,,
12504,Germany,21/11/2011,-302.75,21,11,2011,,,,,,,,
12471,Germany,20/12/2010,-300.65,20,12,2010,,,,,,,,
13587,United Kingdom,27/10/2011,-299.4,27,10,2011,,,,,,,,
16252,United Kingdom,12/08/2010,-295.09,12,8,2010,,,,,,,,
14842,United Kingdom,02/10/2011,-295,2,10,2011,,,,,,,,
15221,United Kingdom,12/05/2010,-289.15,12,5,2010,,,,,,,,
15498,United Kingdom,12/07/2010,-281,12,7,2010,,,,,,,,
15838,United Kingdom,12/02/2010,-280.8,12,2,2010,,,,,,,,
17949,United Kingdom,23/05/2011,-276,23,5,2011,,,,,,,,
12558,USA,12/08/2011,-269.96,12,8,2011,,,,,,,,
17526,United Kingdom,19/05/2011,-262.8,19,5,2011,,,,,,,,
12415,Australia,11/04/2011,-262.73,11,4,2011,,,,,,,,
14543,United Kingdom,03/06/2011,-258.9,3,6,2011,,,,,,,,
15201,United Kingdom,22/09/2011,-257.79,22,9,2011,,,,,,,,
15171,United Kingdom,19/01/2011,-255,19,1,2011,,,,,,,,
17504,United Kingdom,05/10/2011,-251.75,5,10,2011,,,,,,,,
15804,United Kingdom,08/03/2011,-250,8,3,2011,,,,,,,,
18072,United Kingdom,07/07/2011,-247.44,7,7,2011,,,,,,,,
18087,United Kingdom,18/07/2011,-244.8,18,7,2011,,,,,,,,
13418,United Kingdom,20/05/2011,-244.2,20,5,2011,,,,,,,,
14299,United Kingdom,20/12/2010,-240.85,20,12,2010,,,,,,,,
15810,United Kingdom,21/09/2011,-239.12,21,9,2011,,,,,,,,
14205,United Kingdom,12/09/2010,-238.2,12,9,2010,,,,,,,,
18198,United Kingdom,23/09/2011,-237.6,23,9,2011,,,,,,,,
14911,EIRE,01/05/2011,-232.67,1,5,2011,,,,,,,,
12666,Israel,15/12/2010,-227.44,15,12,2010,,,,,,,,
15498,United Kingdom,12/09/2011,-224.69,12,9,2011,,,,,,,,
16859,United Kingdom,25/08/2011,-220.47,25,8,2011,,,,,,,,
14735,United Kingdom,05/03/2011,-218.1,5,3,2011,,,,,,,,
18133,United Kingdom,05/12/2011,-216,5,12,2011,,,,,,,,
13089,United Kingdom,05/05/2011,-212.55,5,5,2011,,,,,,,,
13523,United Kingdom,16/06/2011,-209.5,16,6,2011,,,,,,,,
14299,United Kingdom,12/08/2010,-209,12,8,2010,,,,,,,,
12901,United Kingdom,05/10/2011,-208.8,5,10,2011,,,,,,,,
17095,United Kingdom,14/02/2011,-208.16,14,2,2011,,,,,,,,
13394,United Kingdom,11/02/2011,-207.22,11,2,2011,,,,,,,,
14646,Netherlands,18/08/2011,-206.4,18,8,2011,,,,,,,,
13094,United Kingdom,06/10/2011,-205.74,6,10,2011,,,,,,,,
14267,United Kingdom,07/12/2011,-204,7,12,2011,,,,,,,,
15373,United Kingdom,01/04/2011,-202.8,1,4,2011,,,,,,,,
17450,United Kingdom,09/02/2011,-200,9,2,2011,,,,,,,,
12584,Italy,30/11/2011,-197.8,30,11,2011,,,,,,,,
13314,United Kingdom,19/10/2011,-197.28,19,10,2011,,,,,,,,
15973,United Kingdom,01/04/2011,-197.1,1,4,2011,,,,,,,,
17526,United Kingdom,31/03/2011,-195.5,31,3,2011,,,,,,,,
17581,United Kingdom,17/05/2011,-195,17,5,2011,,,,,,,,
17190,United Kingdom,06/06/2011,-195,6,6,2011,,,,,,,,
15502,United Kingdom,12/06/2010,-192.7,12,6,2010,,,,,,,,
14866,United Kingdom,27/09/2011,-192.45,27,9,2011,,,,,,,,
14304,United Kingdom,02/11/2011,-186.35,2,11,2011,,,,,,,,
17671,United Kingdom,28/07/2011,-184.08,28,7,2011,,,,,,,,
14149,United Kingdom,05/11/2011,-179.54,5,11,2011,,,,,,,,
15093,United Kingdom,14/12/2010,-179.15,14,12,2010,,,,,,,,
15769,United Kingdom,15/07/2011,-179,15,7,2011,,,,,,,,
15125,United Kingdom,10/11/2011,-179,10,11,2011,,,,,,,,
16191,United Kingdom,24/11/2011,-177.6,24,11,2011,,,,,,,,
12471,Germany,27/10/2011,-176.43,27,10,2011,,,,,,,,
18274,United Kingdom,22/11/2011,-175.92,22,11,2011,,,,,,,,
17377,United Kingdom,16/12/2010,-175,16,12,2010,,,,,,,,
13081,United Kingdom,19/05/2011,-174.35,19,5,2011,,,,,,,,
13090,United Kingdom,20/01/2011,-174.03,20,1,2011,,,,,,,,
12536,France,12/02/2011,-172.89,12,2,2011,,,,,,,,
14534,United Kingdom,10/10/2011,-169.92,10,10,2011,,,,,,,,
17450,United Kingdom,31/08/2011,-167.08,31,8,2011,,,,,,,,
